50001	FAIL	(Active Scan — Medium: Script Passive Scan Rules)
90001	FAIL	(Active Scan — High: Insecure JSF ViewState)
90011	IGNORE	(Passive Scan — Informational: Charset Mismatch)
90017	FAIL	(Active Scan — High: XSLT Injection)
90018	FAIL	(Active Scan — High: SQL Injection — Advanced)
90019	FAIL	(Active Scan — High: Server Side Code Injection — Advanced)
90020	FAIL	(Active Scan — High: Remote OS Command Injection)
90021	FAIL	(Active Scan — High: XPath Injection)
90022	FAIL	(Active Scan — High: Application Error Disclosure)
90023	FAIL	(Active Scan — High: XML External Entity Attack)
90024	FAIL	(Active Scan — High: Generic Padding Oracle)
90025	FAIL	(Active Scan — Medium: Expression Language Injection)
90026	FAIL	(Active Scan — High: SOAP Action Spoofing)
90027	IGNORE	(Passive Scan — Informational: Cookie Slack Detector)
90028	FAIL	(Active Scan — High: Insecure HTTP Method)
90029	FAIL	(Active Scan — Medium: SOAP XML Injection)
90030	WARN	(Passive Scan — Low: WSDL File Detection)
90033	WARN	(Passive Scan — Low: Loosely Scoped Cookie)
90034	FAIL	(Active Scan — High: Cloud Metadata Potentially Exposed)
